review,sentiment
"""Absolutely the worst flight""",Negative
"""My worst flying experience""",Negative
"""A very bad experience""",Negative
"""experience left much to be desired""",Negative
“had a very pleasant experience”,Positive
"""Total waste of your money""",Negative
"""outstanding service provided""",Positive
"""the seats are falling apart""",Negative
"""clean and comfortable seats""",Positive
"""25kg check in Baggage""",Positive
"""Avoid like a Plague""",Negative
"""Both my flights were delayed""",Negative
"""did not enjoy the flight""",Negative
"""cancelled our flight just 2 hours prior""",Negative
"""terrible airline""",Negative
"""wouldn't recommend this nasty airline""",Negative
"""Do not expect a comfortable seat""",Negative
“fly another carrier”,Negative
"""a disappointing experience""",Negative
“flight was delayed by 14 hrs”,Negative
“Worst airline ever”,Negative
"""attempting to profit $700 from me""",Negative
“infotainment system wasn’t working”,Negative
"“dirty toilets, tray table and stained seats”",Negative
"""customer service was terrible""",Negative
“they have done a commendable job”,Positive
"""lack the concept of hospitality""",Negative
“experience with Air India was challenging”,Negative
“crew were quite nice and soothing”,Positive
"""experience was much worse than ever before""",Negative
"""Just a terrible experience""",Negative
"""experienced excellent service""",Positive
"""disappoints on international routes""",Negative
"""Comfortable seating""",Positive
"""Pathetic airline""",Negative
"""No entertainment at all""",Negative
"""a very humiliating experience""",Negative
“the soft product was markedly improved”,Positive
"""the worst I’ve travelled""",Negative
"""never expected or experienced such a difficult flight""",Negative
"""like a never ending nightmare""",Negative
"""I was just refunded taxes""",Negative
"""whole food experience was disgusting""",Negative
"""half of the screens weren't working""",Negative
"""The worst airline to fly""",Negative
"""nothing is right""",Negative
"""entire experience left us deeply disappointed""",Negative
"""Spend your money on other airlines""",Negative
"""Be aware of this airline""",Negative
"""Not a good experience""",Negative
"""deep disappointment and frustration""",Negative
"""pay 14,000 INR because of extra luggage""",Negative
"""a very disappointing experience""",Negative
"""seats were worn out, uncomfortable""",Negative
"""Staff on both flights were poorly trained""",Negative
"""No lounge or compensation was given""",Negative
"""the most horrible airline""",Negative
"""they need to make some changes""",Negative
"""Pathetic service""",Negative
"""experience is very bad""",Negative
"""site bombed when I tried to pay""",Negative
"""I will never choose Air India""",Negative
"""I had to spend 3 days in the airport""",Negative
"""staff changed our seat numbers""",Negative
"""Worst airline I traveled with""",Negative
"""The seat was broken""",Negative
"""avoid any flight with Air India""",Negative
"""it is highly inconvenient""",Negative
"""a very good experience""",Positive
"""Business class is not roomy""",Positive
"""a really comfortable and good flight""",Positive
"""This is the worst flight service""",Negative
"""very disappointing that they didn't help me""",Negative
"""one of the worst experiences""",Negative
"""everyone was sweating for nearly 2 hours""",Negative
"""food they serve is so bad""",Negative
"""an amazing experience""",Positive
"""It's a third class flight""",Negative
"""never fly Air India again""",Negative
"""a waste of money""",Negative
"""denied to take the bag saying that I am late""",Negative
"""plane seemed terribly run down""",Negative
"""soon lose their customer base""",Negative
"""Worst experience of my life""",Negative
"""delayed almost 5-6 hours""",Negative
"""very low cost aircraft""",Negative
"""IFE screens don't work""",Negative
"""Keep up the good work""",Positive
"""Pathetic and unprofessional""",Negative
"""no different from a low-budget airline""",Negative
"""bathrooms on the plane were disgusting""",Negative
"""Horrible service""",Negative
"""outstanding service from staff""",Positive
"""never ever again Air India""",Negative
"""Disappointed to the core""",Negative
"""going from bad to worst""",Negative
"""was given a regular meal""",Negative
"""both times it was torture""",Negative
"""flight was disgusting and dirty""",Negative
"""gotten progressively worse""",Negative
"""most disappointed""",Negative
"""this was a welcome flight""",Positive
"""company to really avoid""",Negative
"""excellent service provided by staff""",Positive
"""entertainment did not work""",Negative
"""The service was non-existent""",Negative
"""I would still recommend""",Positive
"""first and last flight with Air India""",Negative
"""Again bad experience""",Negative
"""No value for money""",Negative
"""there was nobody there to help""",Negative
"""Worst quality of food!",Negative
"""Worst flight""",Negative
"""No entertainment, no call lights, no seat reclining""",Negative
"""A terrible nightmare""",Negative
"""more than 45 minutes for baggage check""",Negative
"""top notch crew experience""",Positive
"""Worst experience ever""",Negative
"""seats are absolutely atrocious""",Negative
"""service is horrible""",Negative
"""worst customer support""",Negative
"""never seen such kind of chaos""",Negative
"""web check-in was harrowing""",Negative
"""service and customer experience lacking""",Negative
"""Overall good customer service""",Positive
"""held passengers for nearly 4 hours""",Negative
"""seat was completely broken""",Negative
"""Worst inflight experience""",Negative
"""Customer service is getting worse day by day""",Negative
"""Good experience overall""",Positive
"""last time flying Air India""",Negative
"""AI has given nothing but lousy service""",Negative
"""a wonderful experience""",Positive
"""cabin crew not arrived""",Negative
"""Worst flight experience""",Negative
"""staff extremely kind and helpful""",Positive
"""the worst flight experience""",Negative
"""Seats small and uncomfortable""",Negative
"""book at your peril""",Negative
"""Boarding a bit messy""",Positive
"""staff super efficient and friendly""",Positive
"""One of the worst flight experiences""",Negative
"""experienced such poor service""",Negative
"""Very poor flight management""",Negative
"""Food quality horrible""",Negative
"""the worst flight experience """,Negative
"""delayed for more than 5 hours""",Negative
"""a very good flight""",Positive
"""Worst experience ever""",Negative
"""Worst experience ever""",Positive
"""very poor service""",Negative
"""Some seats were not reclining""",Negative
"""Horrible service by Air India""",Negative
"""I asked if he could upgrade me""",Negative
"""bad airline service""",Negative
"""hated my overall flight experience""",Negative
"""Avoid booking Air India""",Negative
"""old planes with no inflight entertainment""",Negative
"""One of the worst airlines""",Negative
"""Very disappointing""",Negative
"""irresponsible airline""",Negative
"""Pathetic experience""",Negative
"""Seats are not at all hygienic""",Negative
"""No Inflight Entertainment""",Negative
"""disappointed that I never got to fly""",Positive
"""the flight was so horrible""",Negative
"""Such a bad experience""",Negative
"""Absolutely primitive aircraft""",Negative
"""food was top class""",Positive
"""better than the last time I flew""",Positive
"""the service was very poor""",Negative
"""Staff new and not efficient""",Positive
"""never travel again with Air India""",Negative
"""comment is mainly for safety concern""",Negative
"""it was shocking""",Negative
"""Would never fly again""",Negative
"""not friendly to customers""",Negative
"""very bad experience in plane""",Negative
"""food was improved""",Positive
"""an excellent flight""",Positive
"""nervous about our journey back home""",Positive
"""Terrible customer service""",Negative
"""entertainment non existent""",Positive
"""Will not fly Air India again""",Negative
"""Air India are idling""",Positive
"""Never flying Air India again""",Negative
"""unfair and bad service""",Negative
"""Seat armrests are broken""",Negative
"""reluctant to help in any way""",Negative
"""Nothing was working at all""",Negative
"""scammed me for such a huge amount""",Negative
"""The flight experience was horrible""",Negative
"""Baggage service to be improved""",Positive
"""Extremely disgusted by Air India""",Negative
"""amazing legroom""",Positive
"""IFE screen does not work""",Negative
"""Flight was clean and neat""",Positive
"""Air India did not disappoint""",Positive
"""the worst I have ever flown with""",Negative
"""not a good customer experience""",Negative
"""Worst experience ever""",Negative
"""rude in their services""",Negative
"""my luggage was damaged""",Negative
"""I appreciate the attitude of the crew""",Positive
"""Appalling airline""",Negative
"""No accountability or professionalism""",Negative
"""Complete disaster""",Negative
"""A total disgrace""",Negative
"""the seats did not recline""",Positive
"""Horrible service""",Negative
"""I was very disappointed""",Negative
"""Service gone so down""",Negative
"""Food was below average quality""",Positive
"""Not a good value for money""",Negative
"""did not answer any call button""",Negative
"""beyond a horrible experience""",Negative
"""service was quite nice""",Positive
"""Very pathetic service""",Negative
"""never flying Air India again""",Negative
"""Cabin crew were extremely rude.""",Negative
"""unexpected and unhappy experience""",Negative
""" A big no for Air India""",Negative
"""Long delays are just norm""",Negative
"""Horrible experience""",Negative
"""do avoid at all costs""",Negative
"""Disrespectful and rude cabin crew""",Negative
"""entertainment system not working""",Negative
"""Seats were very uncomfortable""",Negative
"""Very uncooperative airline""",Negative
"""such a bad flight and experience""",Negative
"""So disappointing""",Negative
"""don't care about people""",Negative
"""non-customer friendly company""",Negative
"""a worst experience with check-in""",Negative
"""Never travel with this airline""",Negative
"""delayed for 12 hrs""",Negative
"""Very disappointed with the service""",Negative
"""Disgusting airline""",Negative
"""its prices are reasonable""",Positive
"""wouldn't recommend to anybody""",Negative
"""food was very bad and substandard""",Negative
"""poor services and management""",Negative
"""comfortable seats""",Positive
"""will not fly this airline""",Negative
"""bad quality of food""",Negative
"""A319 and leg room was better""",Positive
"""big difference in quality of service""",Negative
"""screens were not working""",Negative
"""Seats were poorly maintained""",Negative
"""worst experience of my life""",Negative
"""Customer service is very rude""",Negative
"""hygiene on these flights is horrendous""",Negative
"""Excellent experience on board""",Positive
"""2 day delay in our travel plan""",Negative
"""Air India is disgusting""",Negative
"""does not reflect well on the new owners""",Positive
"""check in was chaotic and unorganised""",Negative
"""""",Positive
"""dirty seats and covers""",Positive
"""Most disgusting service""",Negative
"""staff were friendly and helpful""",Positive
"""please avoid this airline""",Negative
"""This flight was appalling""",Negative
"""Never using the airline again""",Negative
"""Worst experience of my life""",Negative
"""Complete waste of money""",Negative
"""Great food and customer service""",Positive
"""dropped the ball here big time""",Negative
"""outstanding hospitality""",Positive
"""on time departure and arrival""",Positive
"""I would not recommend this airline""",Negative
"""Customer care and cabin crew are very rude and uncooperative""",Negative
"""Worst flight ever""",Negative
"""I am truly impressed""",Positive
"""cabin crew were absolutely delightful""",Positive
"""disappointed with the Customer Care""",Positive
"""Received very nice service""",Positive
"""Worst flight I have even taken""",Negative
"""The food was good""",Positive
"""Never going to fly with them again""",Negative
"""Food quality was extremely poor""",Negative
"""Worst airline ever""",Negative
"""there was no decent meal available""",Negative
"""Very poor service""",Negative
"""great value for money""",Positive
"""Good experience""",Positive
"""a very comfortable experience""",Positive
"""ticket was cheaper by 40%""",Positive
"""do not care for their customers""",Negative
"""seats were very uncomfortable""",Negative
"""Airport staff is not trained well""",Negative
"2seats are broken in business class""",Negative
"""Don’t fly Air India""",Negative
"""very poor experience""",Negative
"""very customer friendly""",Positive
"""experience has been improving""",Positive
"""Flight is the worst""",Negative
"""plane was not cleaned properly""",Negative
"""Her polite behavior was amazing""",Positive
"""smooth and comfortable flight""",Positive
"""a great experience for us2",Positive
"""Outdated aircraft""",Negative
"""Will travel again""",Positive
"""Smooth experience""",Positive
"""offers 20kg baggage allowance""",Positive
"""We had the worst experience""",Negative
"""The airline has improved""",Positive
"""aircraft seats were torn and dirty""",Negative
"""supposedly too late for boarding""",Negative
"""won't fly Air India again""",Negative
"""new ownership is interested in cutting costs""",Positive
"""Worst flight I ever had""",Negative
"""Leg space was also very small""",Negative
"""Totally poor service""",Negative
""" My seat stopped reclining""",Negative
"""I decided to not fly Air India again""",Negative
"""Air India will certainly be my last option""",Negative
"""not cleaned since many of the past flights""",Negative
"""Overall good flight""",Positive
"""Staff were courteous""",Positive
"""Very disappointed with Air India""",Negative
"""I would recommend""",Positive
"""It was a nightmare for us""",Negative
"""stewards were efficient""",Positive
"""seat is not functioning""",Negative
"""Crew was attentive""",Positive
"""not worth the risk of flying with them""",Negative
"""providing low budget airline facilities""",Negative
"""first and the last time on Air India""",Negative
"""One of the worst experience""",Negative
"""Worst experience I have ever had""",Negative
"""not choose this airline""",Negative
"""I would not recommend this airline""",Negative
"""a dilapidated and outdated aircraft""",Negative
"""Never travel Air India""",Negative
"""Absolute worst airline and service""",Negative
"""Do not fly with them""",Negative
"""This is the worst airline""",Negative
"""It was a horror show""",Negative
"""I am severely disappointed""",Positive
"""surprisingly had a pleasant experience""",Positive
"""wouldn't choose to fly with Air India""",Negative
"""relates to my lost luggage""",Negative
"""Horrible, horrible airline""",Negative
"""the worst customer service""",Negative
"""cabin crew service was very rude""",Negative
"""the worst airline""",Negative
"""rude, unhelpful and unapologetic""",Negative
"""I was told that flight is overbooked""",Negative
"""Just appalled by the poor service""",Negative
"""not able to contact customer service""",Negative
"""Overall a poor experience""",Negative
"""first and last Air India experience""",Negative
"""found the flights enjoyable""",Positive
"""only 10% of the screens started working""",Negative
"""None of the TVs worked and no WIFI""",Negative
"""I will never fly with Air India again""",Negative
"""bad experience with this flight""",Negative
"""Horrible communication""",Negative
"""be ready for a very stressful travel if you choose this Airline""",Negative
"""Terrible customer support""",Negative
"""left stranded with very little options""",Negative
"""entertainment screen wasn't working""",Negative
"""Not recommending anymore""",Negative
"""Very disappointed by the attitude""",Negative
"""She was very unprofessional""",Negative
"""like to appreciate the ground staff""",Positive
"""It was the worst experience""",Negative
"""this was the worst experience""",Negative
"""One of the worst experiences""",Negative
"""nothing seems to have changed under the new ownership""",Negative
"""did not have pillows for passengers""",Negative
"""Never again Air India in my life""",Negative
"""a totally chaotic experience""",Negative
"""the food was the worst I’ve ever had""",Positive
"""Absolute worst flight experience""",Negative
"""an alternative flight was also not arranged""",Negative
"""most mediocre Business class""",Negative
"""doesn't care in the least about customer service""",Negative
"""In flight meal was good""",Positive
"""sublime torture on this 15.5 hour journey""",Negative
"""No entertainment on 16 hr flight""",Negative
"""Worst flight experience ever""",Negative
"""no proper accommodation provided""",Negative
"""do not recommend anyone to fly Air India""",Negative
"""plane was filthy,  entertainment non existent""",Negative
"""waiting for refund since last 1 year""",Negative
"""a great short flight""",Positive
"""not recommend anybody to travel with them""",Negative
"""Customer care support is worst""",Negative
"""haven’t been able to refund me""",Negative
"""told now the change fee had increased""",Negative
"""Never travel with Air India again""",Negative
"""Booking a ticket online is such a pain""",Positive
"""I would say to not fly Air India """,Positive
"""Absolute horrendous experience!",Negative
"""Boarding delay and nothing but chaos""",Positive
"""there is absolutely no clue what is going on""",Negative
"""Worst customer service experience""",Negative
"""not worth the money at all""",Negative
"""good experience on this short sector""",Positive
"""customer support has been absolutely pathetic""",Negative
"""worst experience with this airline""",Negative
"""the worst experience""",Negative
"""they were not aware about the rule""",Negative
"""lack of processes and untrained ground staff""",Negative
"""Air India repeatedly disappoints""",Negative
"""I never recommend Air India to anyone""",Negative
"""the most disappointing experience""",Negative
"""Services have downgraded tremendously""",Negative
"""don't have spaceto put my luggage""",Negative
"""bad experience with any airline""",Negative
"""Would not recommend Air India""",Negative
"""a wonderful experience""",Positive
"""unprofessional and rude customer service""",Negative
"""it has not been refunded""",Negative
"""he made sure I was all okay""",Positive
"""most terrible experience ever""",Negative
"""It was a nightmare""",Negative
"""Absolute nightmare""",Negative
"""they said that boarding is closed.""",Negative
"""assigned my seat to someone else""",Negative
"""there was no hygiene""",Negative
"""How can this airline treat passengers so casually?""",Negative
"""amount is not refundable""",Negative
"""not refunding the money""",Negative
"""good for nothing customer support""",Negative
"""significant delay in refunding money""",Negative
"""Is this airline out of their minds?""",Negative
"""their services are so pathetic""",Negative
"""Air India just doesn't care""",Negative
"""seats are not comfortable""",Negative
"""Don’t ever use Air India""",Negative
"""Worst experience ever""",Negative
"""The worst customer service""",Negative
"""nearly 14 hrs without any entertainment""",Negative
"""phone chargers should be available""",Positive
"""the product is really sub par""",Negative
"""charged me 5040 rupees for 8kg""",Negative
"""it was worth the value""",Positive
"""charged Rs 20,000 for luggage weight""",Negative
"""flight has been re-scheduled three times""",Negative
"""Not following protocols or any rules""",Negative
"""the inflight experience was quite nice""",Positive
"""Worst staff behaviour ever!""",Negative
"""such a terrible experience""",Negative
"""Such a terrible airline""",Negative
"""Completely disgusted with my experience2",Negative
"""bad experience as always""",Negative
"""The worst possible experience""",Negative
"""I feel it's more worst now""",Negative
“Very bad service”,Negative
"""no information provided""",Negative
"""they refused to refund""",Negative
“Employees behave badly”,Negative
"""Worst flight experience""",Negative
“no commitment to the clients”,Negative
"""Worst flight experience""",Negative
"""Frequently flight delays""",Negative
“I was really disappointed”,Negative
“Worst flight experience”,Negative
“What a shame!”,Negative
"""huge amount on the extra bag""",Negative
"""told to check in our cabin baggage""",Negative
"""Very worst service""",Negative
"""appreciate his professionalism""",Positive
"""Worst staff service""",Negative
"""feeling trapped in the flight""",Positive
"""Worst airline ever""",Negative
"""Worst crew I've ever flown with""",Negative
"""flight experience was worst""",Negative
"""No proper communication""",Negative
"""never recommend Air India""",Negative
"""Thanks for their support""",Positive
"""did not enjoy my flight""",Negative
"""never travel again in this airline""",Negative
"""the worst experience""",Negative
"""It is a worst service""",Negative
"""One of the worst airline services""",Negative
"""canceled the flight without any information""",Negative
"""not a pleasant or comfortable experience""",Negative
"""charge you for every 1 Kg""",Negative
"""utter wastage of money and time""",Negative
"""Cabin crews were friendly""",Positive
"""they broke my new luggage""",Negative
"""delayed by more than 3 hours""",Negative
"""a budget flight but with a high fare""",Positive
"""don't recommend this airline""",Negative
"""accommodative and hospitable""",Positive
"""Very good healthy food""",Positive
"""entire staff are rude""",Negative
"""poor service""",Negative
"""delayed for 24 hours and no prior information""",Negative
"""Not value for money""",Negative
"""This airline is not worth the money""",Negative
"""It is value for money""",Positive
"""horrible customer service""",Negative
"""Such a pathetic service""",Negative
"""What a pathetic airline""",Negative
"""I have not received refund yet""",Negative
"""This was very disappointing""",Negative
"""crew surprisingly good""",Positive
"""A very unhappy customer""",Negative
"""really upset about your service""",Negative
"""I did not get a refund yet""",Negative
"""made me very comfortable""",Positive
"""until now I have no response""",Negative
"""Very poor customer service""",Negative
"""took off and landed on time""",Positive
"""I expect to be compensated""",Negative
"""Excellent Service""",Positive
"""refund system is very bad""",Negative
"""no single entertainment""",Negative
"""a pleasant flight""",Positive
"""Worst experience I ever had""",Negative
"""no one cares to reply""",Negative
"""plain and simple incompetence and laziness""",Negative
"""staff service was good""",Positive
"""mostly like a horror movie""",Negative
"""the flight is a disgrace""",Negative
"""a great experience""",Positive
"""I was pleasantly surprised""",Positive
"""asked my seating preference""",Positive
"""I don't care way of dealing""",Negative
"""staff with adamant nature""",Negative
"""Overall experience was good""",Positive
"""flights are delayed""",Negative
"""first experience is bad""",Negative
"""really was a disappointment""",Negative
"""had a horrible experience""",Negative
"""Please avoid this airline""",Negative
"""second bad experience""",Negative
"ground staff are so incompetent""",Negative
"""Worst airline in my life""",Negative
Air India Express customer review,Negative
"""air conditioning wasn't working""",Negative
"""Never fly Air India Express""",Negative
"""entire cabin wasn't in good condition""",Negative
"""Worst airline ever""",Negative
"""Their flight delays very often""",Negative
"""young and efficient crew""",Positive
"""the worst experience""",Negative
"""regret this decision forever""",Negative
"""staff ran away""",Negative
"""the flight was not enjoyable""",Negative
Air India Express customer review,Negative
Air India Express customer review,Positive
Air India Express customer review,Positive
Air India Express customer review,Negative
Air India Express customer review,Negative
Air India Express customer review,Negative
Air India Express customer review,Positive
Air India Express customer review,Positive
Air India Express customer review,Positive
Air India Express customer review,Negative
Air India Express customer review,Negative
Air India Express customer review,Negative
Air India Express customer review,Negative
Air India Express customer review,Negative
"""cancelled the flight at last moment""",Negative
"""cancel flight at the last moment""",Negative
"""Will not book Go-First again""",Negative
"""flight got cancelled without any notification""",Negative
"""there is no sense of professionalism in the staff""",Negative
"""delayed or cancelled frequently""",Negative
"""Never go with this flight""",Negative
"""seat is not comfortable""",Negative
"""don’t expect to be pampered""",Positive
"""handled the situation very well""",Positive
"""changed their schedule frequently""",Negative
"""don't value your customers""",Negative
"""never value time for its customer""",Negative
"""was again late for 3 hours""",Negative
"""Never fly with this airline""",Negative
"""Pathetic service""",Negative
"""Book only if you're ready for reschedule""",Negative
"""Extremely horrible experience""",Negative
"""It is always delayed""",Negative
"""last airline one should opt for""",Negative
"""caused significant discomfort""",Negative
"""the worst way to travel by air""",Negative
"""never travel through Go First""",Negative
"""delayed for almost 3.5 hrs""",Negative
"""most unprofessional""",Negative
"""completely stressful situation""",Negative
"""Worst airline ever""",Negative
"""The worst airline ever""",Negative
"""the flight is preponed""",Negative
"""Very bad experience""",Negative
"""Flight was delayed 4 times""",Negative
"""rescheduled the flight 2 times""",Negative
"""I'm never booking through them again""",Negative
"""Very pathetic experience""",Negative
"""Such a painful experience!""",Negative
"""really thank the cabin crew""",Positive
"""The airline is not worth it""",Negative
"""zero value for money and negative convenience""",Negative
"""Such a poor experience""",Negative
"""Pathetic experience with this airline""",Negative
"""Service after sales is poor""",Negative
"""Worst experience""",Negative
"""Frequent cancellation""",Negative
"""cancelled few hours before the departure""",Negative
"""would never recommend""",Negative
"""treats its customers so shabbily""",Negative
"""It was horrible experience""",Negative
"""avoid the airline at all cost""",Negative
"""closes one hour prior to flight""",Negative
"""delayed without any notice""",Negative
"""Worst Service ever""",Negative
"""don't know the meaning of hospitality""",Negative
"""Horrible service""!",Negative
"""experience was really bad""",Negative
"""Worst airline in India""",Negative
"""Ridiculous excuse of an airline""",Negative
"""Such a bad flight""",Negative
"""Complete mismanagement""",Negative
Go First customer review,Positive
"""Such a pathetic service""",Negative
"""charged me to carry my musical instrument""",Negative
"""Pathetic service""",Negative
"""Trust this company at your peril""",Negative
"""Most horrible airline""",Negative
"""Pathetic service""",Negative
"""Overall a pathetic experience""",Negative
"""Third class service""",Negative
"""don’t care for the passengers time""",Negative
"""do not book if you value your time""",Negative
